gene	TGFb_t24_FDR	TGFb_t24_logFC	TGFb_t48_FDR	TGFb_t48_logFC	TGFb_t72_FDR	TGFb_t72_logFC	Thrombin_t24_FDR	Thrombin_t24_logFC	Thrombin_t48_FDR	Thrombin_t48_logFC	Thrombin_t72_FDR	Thrombin_t72_logFC
ENSG00000108381	 2.572e-09	-1.948e+00					 4.735e-08	-1.782e+00	 6.320e-14	-1.218e+00	 4.258e-24	 1.061e+00
ENSG00000105514					 5.667e-48	-1.819e+00					 5.050e-19	-1.003e+00
ENSG00000145386					 2.497e-25	-1.356e+00					 7.860e-19	-1.090e+00
ENSG00000249673											 8.000e-16	-1.042e+00
ENSG00000275074					 2.388e-36	-1.098e+00					 1.749e-58	-1.591e+00
ENSG00000166974											 1.717e-80	-1.046e+00
ENSG00000175305					 1.507e-08	-1.928e+00					 4.843e-09	-1.820e+00
ENSG00000114859											 5.096e-19	-1.153e+00
ENSG00000136982											 6.375e-13	-1.203e+00
ENSG00000253414											 6.920e-06	-3.074e+00
ENSG00000167994									 1.157e-47	-1.175e+00		
ENSG00000170873	 4.140e-94	-1.194e+00									3.994e-113	-1.881e+00
ENSG00000223813					 2.289e-26	-1.951e+00					 2.129e-32	-2.225e+00
ENSG00000013297			 0.000e+00	-3.454e+00	 0.000e+00	-4.785e+00			4.837e-278	-3.220e+00	6.270e-219	-4.578e+00
ENSG00000168646			 4.344e-61	-1.274e+00	1.173e-106	-2.384e+00			1.693e-141	-1.859e+00	9.260e-182	-3.700e+00
ENSG00000014914					 5.678e-42	-1.150e+00					 4.746e-37	-1.044e+00
ENSG00000171680					9.539e-106	-1.650e+00					 4.231e-77	-1.377e+00
ENSG00000225648					 6.096e-70	 1.017e+00			 3.163e-54	 1.031e+00	 2.122e-99	 1.243e+00
ENSG00000106610					 5.566e-43	 1.191e+00					 1.810e-66	 1.319e+00
ENSG00000265488			 5.343e-07	-2.272e+00					 9.936e-19	-4.314e+00		
ENSG00000091490									4.253e-151	 1.043e+00		
ENSG00000135476					 1.089e-31	-2.135e+00					 2.721e-18	-1.564e+00
ENSG00000198380											4.156e-107	 1.084e+00
ENSG00000115762											 5.872e-87	 1.032e+00
ENSG00000239672									1.621e-132	 1.173e+00		
ENSG00000122966					 3.568e-40	-3.083e+00					 3.002e-48	-3.434e+00
ENSG00000235863					 1.799e-31	-1.800e+00			 8.605e-84	-1.586e+00	 4.885e-51	-2.464e+00
ENSG00000110427					 3.877e-15	-1.221e+00					 1.806e-38	-2.058e+00
ENSG00000148426									 3.404e-30	 1.061e+00		
ENSG00000144712					 1.768e-29	-1.488e+00					 1.231e-57	-2.461e+00
ENSG00000070961					 0.000e+00	 3.203e+00			2.673e-192	 1.277e+00	 0.000e+00	 3.776e+00
ENSG00000189057					 1.073e-15	-4.479e+00					 3.980e-13	-3.229e+00
ENSG00000152253					 1.945e-20	-7.671e+00					 2.174e-18	-4.757e+00
ENSG00000174080			 4.805e-56	-1.039e+00	7.030e-100	-1.266e+00			1.699e-206	-1.651e+00	 0.000e+00	-2.232e+00
ENSG00000139613											1.952e-113	-1.319e+00
ENSG00000011426					2.398e-125	-2.997e+00					7.830e-124	-2.836e+00
ENSG00000157657											7.661e-139	-1.422e+00
ENSG00000187266					 1.836e-50	-1.670e+00					 1.200e-34	-1.392e+00
ENSG00000169122	 3.522e-27	-1.076e+00	 2.715e-61	-1.007e+00			 4.657e-23	-1.034e+00	 3.301e-65	-1.065e+00		
ENSG00000275993	 4.895e-36	 1.572e+00	9.331e-127	 3.451e+00	 4.409e-95	 2.367e+00	 1.649e-10	 1.086e+00	 9.624e-73	 2.760e+00	 1.250e-62	 1.739e+00
ENSG00000128512			 3.318e-73	-1.088e+00					4.419e-165	-1.332e+00		
ENSG00000081923					 8.544e-45	-1.411e+00					 1.096e-28	-1.041e+00
ENSG00000168528									 5.664e-76	 1.135e+00	2.729e-107	 1.434e+00
ENSG00000014216					9.689e-102	-1.170e+00					1.416e-131	-1.233e+00
ENSG00000139874	 9.205e-54	-1.361e+00	 1.171e-14	 1.107e+00	2.060e-170	 3.419e+00			9.445e-187	 2.234e+00	 0.000e+00	 3.919e+00
ENSG00000152049			1.546e-126	 1.104e+00							8.691e-104	-1.570e+00
ENSG00000156113			1.246e-102	-1.343e+00			 3.293e-91	-1.366e+00	2.158e-169	-1.649e+00		
ENSG00000138413											1.154e-105	 1.113e+00
