gene	TGFb_t24_FDR	TGFb_t24_logFC	TGFb_t48_FDR	TGFb_t48_logFC	TGFb_t72_FDR	TGFb_t72_logFC	Thrombin_t24_FDR	Thrombin_t24_logFC	Thrombin_t48_FDR	Thrombin_t48_logFC	Thrombin_t72_FDR	Thrombin_t72_logFC
ENSG00000241399			 4.805e-56	-1.234e+00	 3.561e-70	-1.319e+00			4.837e-187	-1.231e+00	5.946e-166	-2.107e+00
ENSG00000160298					 3.692e-32	-1.827e+00					 2.827e-53	-2.300e+00
ENSG00000269936					2.552e-135	-2.131e+00					1.686e-245	-3.164e+00
ENSG00000178860	6.256e-115	 1.498e+00	2.016e-257	 2.211e+00	 0.000e+00	 2.946e+00	1.092e-120	 1.667e+00	 0.000e+00	 2.581e+00	 0.000e+00	 2.803e+00
ENSG00000184545									 7.149e-24	 1.043e+00	 9.120e-23	 1.008e+00
ENSG00000259877											 2.879e-10	-1.211e+00
ENSG00000008853											 4.237e-91	-1.901e+00
ENSG00000100968					2.310e-139	-1.409e+00			9.320e-163	-1.078e+00	1.971e-311	-2.088e+00
ENSG00000205593											 2.284e-36	-1.093e+00
ENSG00000132003			 2.523e-74	 1.240e+00					1.494e-208	 1.592e+00		
ENSG00000162407					3.269e-185	-1.666e+00					7.489e-172	-1.759e+00
ENSG00000174529											 1.084e-11	 1.221e+00
ENSG00000113739									4.473e-243	 1.525e+00	1.542e-131	 1.581e+00
ENSG00000184381									 6.941e-66	-1.082e+00		
ENSG00000119630											 1.285e-34	 1.456e+00
ENSG00000187260	 1.075e-07	-2.339e+00	 7.287e-17	-1.259e+00	 2.505e-13	-1.277e+00			 8.981e-64	-2.852e+00	 1.812e-17	-1.405e+00
ENSG00000011422									 3.295e-95	 1.101e+00		
ENSG00000229619					 7.114e-50	-1.650e+00					 7.076e-48	-1.518e+00
ENSG00000138623					 8.438e-34	-1.403e+00					 1.297e-37	-1.390e+00
ENSG00000204103							 2.362e-28	-1.305e+00	 9.989e-74	-1.731e+00	 4.731e-32	-1.149e+00
ENSG00000205978					 0.000e+00	-2.124e+00			 0.000e+00	-1.380e+00	 0.000e+00	-3.068e+00
ENSG00000102886									 2.351e-29	-1.144e+00		
ENSG00000143322					 3.513e-89	 1.076e+00					4.919e-130	 1.232e+00
ENSG00000240184											9.477e-114	-1.054e+00
ENSG00000148143					 6.938e-77	-1.100e+00					3.129e-117	-1.362e+00
ENSG00000261770					 1.247e-12	 1.022e+00						
ENSG00000255874									 3.841e-44	-1.152e+00	 1.482e-21	-1.107e+00
ENSG00000110811											3.051e-137	-1.350e+00
ENSG00000140285			8.501e-122	-1.462e+00			 3.783e-37	 1.031e+00			2.033e-146	-1.652e+00
ENSG00000128052	5.248e-166	-1.768e+00	 0.000e+00	-2.852e+00	 0.000e+00	-2.835e+00	 2.735e-83	-1.187e+00	 0.000e+00	-2.970e+00	2.285e-133	-2.453e+00
ENSG00000135472					 5.128e-65	-2.162e+00			4.929e-114	-1.856e+00	7.511e-119	-3.060e+00
ENSG00000155465	 2.382e-20	-1.138e+00			 3.247e-47	-1.168e+00					4.796e-140	-2.226e+00
ENSG00000164237									1.661e-114	-1.132e+00		
ENSG00000133119					 1.653e-12	-1.076e+00						
ENSG00000131080					8.102e-129	 1.562e+00					1.033e-254	 1.802e+00
ENSG00000004776					 1.311e-77	-1.352e+00					5.213e-190	-1.782e+00
ENSG00000084636			 7.173e-78	 1.420e+00								
ENSG00000127564					 6.310e-31	-3.413e+00					 7.855e-35	-3.312e+00
ENSG00000204267					6.180e-119	 1.325e+00					3.186e-145	 1.509e+00
ENSG00000007237			1.229e-141	 1.461e+00								
ENSG00000143369											2.941e-116	-1.284e+00
ENSG00000100206					 2.270e-18	-2.251e+00					 2.170e-22	-2.626e+00
ENSG00000256667									 1.268e-15	-1.315e+00		
ENSG00000057657			 6.557e-08	 1.225e+00	4.150e-109	 3.167e+00					6.794e-113	 3.281e+00
ENSG00000006652									 1.964e-60	 1.021e+00		
ENSG00000163431	 3.765e-23	-1.757e+00	1.452e-144	-2.224e+00	3.312e-179	-3.411e+00					1.771e-219	-2.998e+00
ENSG00000148841			1.360e-188	 1.269e+00	1.183e-168	 2.015e+00			 0.000e+00	 1.903e+00	7.772e-188	 2.166e+00
ENSG00000189060											8.544e-119	 1.063e+00
ENSG00000237125			3.384e-143	-1.144e+00	1.013e-115	-1.707e+00			1.872e-208	-1.149e+00	9.768e-169	-2.252e+00
ENSG00000198963	 3.527e-34	-1.824e+00										
ENSG00000123080					 5.869e-52	-1.829e+00					 3.156e-91	-2.342e+00
ENSG00000076662											 6.668e-14	-1.115e+00
ENSG00000257219			 8.364e-10	 1.495e+00	 3.111e-77	 2.279e+00			5.865e-139	 3.403e+00	1.860e-213	 3.238e+00
ENSG00000262049											 1.317e-16	-1.439e+00
ENSG00000026036					 1.080e-16	-1.058e+00					 1.134e-30	-1.570e+00
ENSG00000268746					 2.003e-05	-1.448e+00						
ENSG00000128590					2.434e-220	 1.662e+00					3.117e-303	 2.005e+00
ENSG00000198042									 1.647e-96	 1.199e+00		
ENSG00000122707					4.281e-141	-1.445e+00					7.967e-198	-1.692e+00
ENSG00000143622											7.051e-113	 1.141e+00
ENSG00000223508											 3.896e-33	 1.172e+00
ENSG00000006016	 1.749e-46	 1.167e+00										
ENSG00000051180					 3.050e-12	-1.736e+00					 1.412e-14	-1.897e+00
ENSG00000160051											 8.829e-11	-1.193e+00
ENSG00000164465			3.082e-268	 1.465e+00	2.292e-192	 1.596e+00			3.054e-320	 1.407e+00	2.542e-154	 1.286e+00
ENSG00000165821					 2.063e-49	-1.920e+00			6.446e-208	-2.036e+00	3.196e-114	-3.375e+00
ENSG00000119986					 0.000e+00	 2.475e+00			 5.947e-52	 1.059e+00	 0.000e+00	 3.088e+00
ENSG00000163017					 2.285e-44	-3.194e+00			 1.116e-58	 3.193e+00	 8.853e-50	-3.246e+00
ENSG00000197594					 3.495e-44	-1.692e+00			 7.304e-44	-1.566e+00	 8.717e-97	-2.807e+00
ENSG00000120885					2.489e-128	-1.561e+00			 0.000e+00	-1.985e+00	5.586e-267	-2.611e+00
ENSG00000119326			1.442e-127	-1.273e+00	 2.583e-72	-1.021e+00						
ENSG00000215068											 2.806e-45	-1.819e+00
ENSG00000203709	 4.292e-47	-1.603e+00	 1.522e-81	-1.221e+00	 2.452e-58	-1.187e+00			 1.063e-79	-1.252e+00	 6.477e-93	-1.546e+00
ENSG00000160957					 3.342e-32	-1.654e+00					 5.279e-41	-1.866e+00
ENSG00000129810					 4.137e-11	-2.203e+00					 9.844e-12	-2.346e+00
ENSG00000162522					 2.702e-66	-1.662e+00	 6.918e-26	-1.045e+00	 2.153e-58	-1.122e+00	 1.380e-49	-1.294e+00
ENSG00000196839					 7.712e-88	-1.918e+00			 2.445e-78	-1.124e+00	1.475e-151	-2.554e+00
ENSG00000116133					1.041e-277	-2.093e+00					8.158e-207	-2.003e+00
ENSG00000164463	 7.545e-30	-1.203e+00										
ENSG00000144802					 2.448e-70	 1.017e+00					2.012e-109	 1.061e+00
ENSG00000117242											 6.976e-55	 1.069e+00
ENSG00000118418											 5.959e-59	-1.169e+00
ENSG00000215022					 8.696e-17	 1.332e+00					 8.527e-23	 1.553e+00
ENSG00000081181					 5.889e-11	-1.538e+00			 4.789e-16	 1.356e+00	 7.136e-07	-1.172e+00
ENSG00000185697					 1.363e-07	-1.160e+00						
ENSG00000103647	3.850e-159	-1.765e+00					6.915e-155	-1.612e+00	1.516e-130	-1.448e+00		
ENSG00000106772					1.448e-174	-2.348e+00					1.865e-200	-2.485e+00
ENSG00000200651											 7.263e-07	-1.781e+00
ENSG00000058056											 8.016e-45	-1.053e+00
ENSG00000162692	1.367e-214	-1.609e+00			 1.068e-71	-1.136e+00						
ENSG00000249859											 2.789e-45	 1.036e+00
ENSG00000071539					 2.962e-48	-2.730e+00					 1.458e-58	-3.024e+00
ENSG00000047230					 2.652e-38	-1.065e+00					 1.378e-88	-1.637e+00
ENSG00000172893					7.572e-192	-1.558e+00						
ENSG00000100321					 6.188e-68	-1.747e+00					 7.397e-99	-2.171e+00
ENSG00000067836											 7.470e-59	-1.126e+00
ENSG00000112245					1.357e-129	 1.133e+00					5.153e-146	 1.361e+00
ENSG00000166923	5.085e-101	 1.236e+00					 0.000e+00	 2.971e+00	1.451e-247	 2.462e+00		
ENSG00000011523											 3.928e-84	-1.534e+00
ENSG00000207864					 2.939e-07	-1.204e+00					 1.805e-16	-2.025e+00
ENSG00000259426									 1.062e-51	 1.541e+00		
ENSG00000042286					1.418e-265	 2.042e+00			 5.459e-77	 1.152e+00	7.166e-269	 2.121e+00
ENSG00000084731					 4.732e-82	-1.501e+00					 6.875e-78	-1.380e+00
ENSG00000072571					 1.115e-14	-1.551e+00					 6.182e-13	-1.445e+00
ENSG00000106366	3.566e-260	 1.192e+00	 0.000e+00	 1.890e+00			3.331e-245	 1.597e+00	 0.000e+00	 3.090e+00	 1.647e-25	 1.134e+00
ENSG00000213523					 1.111e-84	 1.050e+00					 5.141e-88	 1.078e+00
ENSG00000219507											 4.674e-05	 1.110e+00
ENSG00000090339									 1.045e-86	 1.482e+00	 6.779e-95	 1.446e+00
ENSG00000151012			 2.523e-44	 1.376e+00					9.526e-227	 1.999e+00	1.562e-249	 1.630e+00
ENSG00000102385					 8.364e-80	-2.828e+00			7.488e-210	-1.796e+00	2.981e-117	-3.612e+00
ENSG00000118705											 1.924e-57	 1.041e+00
ENSG00000124831									3.431e-257	 1.360e+00		
ENSG00000113368					 1.992e-38	-2.096e+00					 2.739e-37	-1.854e+00
ENSG00000079257			 2.437e-85	-1.149e+00	 1.143e-99	-2.031e+00			4.806e-122	-1.245e+00	2.041e-144	-2.643e+00
ENSG00000134802					 1.122e-71	 1.063e+00					 8.738e-81	 1.192e+00
ENSG00000142733					 1.076e-71	-1.481e+00					4.534e-148	-1.824e+00
ENSG00000138449	 9.429e-49	-2.159e+00	 0.000e+00	-3.593e+00	 0.000e+00	-4.020e+00			 0.000e+00	-3.342e+00	 0.000e+00	-4.371e+00
ENSG00000102032	 8.182e-05	-1.129e+00			 1.247e-53	 1.703e+00					1.981e-111	 2.233e+00
ENSG00000130592					 7.720e-90	-2.796e+00	 3.663e-80	-1.973e+00	 5.611e-91	-2.349e+00	1.652e-151	-4.306e+00
ENSG00000232472					 2.254e-05	 1.098e+00						
ENSG00000122176					7.450e-179	-1.719e+00			 1.304e-80	-1.525e+00	 0.000e+00	-3.243e+00
ENSG00000142303					 4.403e-87	-1.677e+00			 3.756e-83	-1.176e+00	 0.000e+00	-2.910e+00
ENSG00000253200											 1.874e-25	 1.011e+00
ENSG00000178573									 3.472e-27	-1.266e+00		
ENSG00000267370	 9.882e-06	-1.579e+00							 5.076e-06	-1.294e+00	 4.502e-06	-1.564e+00
ENSG00000128606	 5.190e-98	 1.086e+00			7.258e-158	-2.792e+00			8.337e-201	-1.936e+00	1.361e-252	-4.009e+00
ENSG00000258297											 4.472e-30	-1.393e+00
ENSG00000172345	 1.543e-20	-1.042e+00	 1.510e-87	-1.510e+00	 1.643e-91	-2.567e+00			4.411e-176	-1.936e+00	2.089e-106	-2.542e+00
ENSG00000145506	1.873e-126	-1.830e+00			 2.820e-58	-2.339e+00					 1.956e-41	-1.864e+00
ENSG00000180447	2.469e-110	-2.085e+00	 0.000e+00	-2.351e+00	1.425e-299	-3.168e+00			3.317e-261	-1.585e+00	 0.000e+00	-3.443e+00
ENSG00000177674									1.724e-151	 1.029e+00		
ENSG00000149090			9.952e-189	-1.298e+00	6.848e-223	-1.543e+00			1.228e-178	-1.134e+00	2.850e-134	-1.156e+00
ENSG00000197565	1.127e-123	-1.584e+00	4.072e-200	-1.684e+00	 0.000e+00	-1.996e+00			2.889e-238	-1.691e+00	3.940e-241	-2.040e+00
ENSG00000138685			 1.130e-51	 1.117e+00	 0.000e+00	 2.566e+00			2.807e-280	 1.364e+00	 0.000e+00	 2.986e+00
ENSG00000119862	 9.909e-16	-1.127e+00					 1.027e-15	-1.132e+00				
ENSG00000109738					 2.293e-24	 1.119e+00					 1.160e-42	 1.365e+00
ENSG00000116260			1.857e-171	-1.210e+00								
ENSG00000122861					2.299e-114	-1.428e+00					 3.704e-96	-1.697e+00
ENSG00000101236			7.164e-107	 1.136e+00					9.364e-195	 1.347e+00		
ENSG00000072422					 4.025e-59	-1.130e+00					8.456e-113	-1.669e+00
ENSG00000108840											1.525e-238	-1.776e+00
ENSG00000136770					9.196e-150	 1.121e+00					7.360e-227	 1.482e+00
ENSG00000171617					 4.152e-33	-1.415e+00			2.191e-102	 1.154e+00	 6.703e-42	-1.509e+00
ENSG00000112759					 2.854e-76	-1.430e+00					 4.732e-42	-1.153e+00
ENSG00000224020			 3.501e-05	 1.343e+00	 1.397e-06	 1.529e+00			 2.064e-05	 1.196e+00		
ENSG00000156299									7.178e-142	-1.512e+00		
ENSG00000119772											 1.250e-83	-1.067e+00
ENSG00000090238	 1.740e-30	-1.086e+00			 1.089e-36	-1.278e+00			9.359e-283	-1.675e+00	 6.559e-60	-1.675e+00
ENSG00000205559											 9.157e-05	-1.192e+00
ENSG00000266865	 3.872e-20	-1.364e+00										
ENSG00000198835											 4.712e-16	 1.221e+00
ENSG00000146410					 1.222e-06	-1.710e+00						
ENSG00000111684					 4.852e-80	-1.023e+00					2.830e-115	-1.381e+00
ENSG00000118526			 2.997e-57	-1.106e+00	6.590e-184	 1.702e+00					 0.000e+00	 2.458e+00
ENSG00000071967			2.260e-131	-1.116e+00	 5.926e-91	-1.129e+00			3.613e-130	-1.069e+00	1.107e-101	-1.217e+00
ENSG00000136010			3.045e-295	 1.901e+00					 0.000e+00	 1.932e+00		
ENSG00000134780					 2.279e-25	-1.070e+00						
ENSG00000161267											 8.426e-56	-1.638e+00
ENSG00000144746					 1.028e-91	-1.044e+00					 6.680e-99	-1.148e+00
ENSG00000160200			 4.420e-59	 1.502e+00					5.652e-192	 2.045e+00		
ENSG00000095739	 3.135e-65	-1.466e+00	 1.980e-78	-1.534e+00	9.533e-113	-1.570e+00					9.803e-148	-1.908e+00
ENSG00000105963	 5.856e-07	-1.100e+00										
ENSG00000137269					 5.992e-22	 1.119e+00					 9.157e-81	 1.991e+00
ENSG00000064961											 3.522e-80	-1.110e+00
ENSG00000166908											 2.672e-77	 1.150e+00
ENSG00000267632	 1.344e-05	-1.165e+00			 2.183e-08	 1.066e+00						
ENSG00000154734	5.493e-227	-1.619e+00	 0.000e+00	-2.795e+00	 4.112e-81	-1.604e+00			 0.000e+00	-2.871e+00	 6.276e-44	-1.139e+00
ENSG00000100243					1.032e-110	-1.169e+00					 1.672e-96	-1.022e+00
ENSG00000181524											 2.230e-06	-1.023e+00
ENSG00000138735			 4.525e-77	-1.003e+00							4.643e-109	 1.358e+00
ENSG00000107562					 2.842e-87	-1.304e+00					 0.000e+00	-2.752e+00
ENSG00000060982									6.250e-187	 1.065e+00		
ENSG00000166189											 4.377e-70	-1.221e+00
ENSG00000112984					 8.173e-48	-3.103e+00					 1.264e-56	-3.233e+00
ENSG00000135722					 5.242e-30	-1.378e+00			 1.047e-66	-1.275e+00	 2.743e-60	-1.861e+00
ENSG00000120337					 1.383e-30	 2.438e+00			 5.809e-11	 1.845e+00	3.271e-102	 3.213e+00
ENSG00000105711									 4.746e-90	 1.012e+00		
ENSG00000235387					 1.665e-16	-2.907e+00					 5.371e-19	-2.636e+00
ENSG00000133805					 2.868e-19	-1.123e+00						
ENSG00000138764									5.694e-113	-1.260e+00		
ENSG00000096092											 1.272e-37	-1.284e+00
ENSG00000075618					4.176e-176	-2.116e+00					 0.000e+00	-2.610e+00
ENSG00000119969					 1.192e-14	-1.405e+00					 2.434e-23	-1.510e+00
ENSG00000181072	 3.507e-67	-2.092e+00	7.978e-122	-1.708e+00	9.705e-209	-2.733e+00			1.179e-133	-1.418e+00	8.350e-157	-2.099e+00
ENSG00000156802											 6.440e-39	-1.136e+00
ENSG00000197860					3.240e-268	 1.774e+00			 7.301e-74	 1.067e+00	 0.000e+00	 2.305e+00
ENSG00000197555									 0.000e+00	 1.611e+00	5.809e-115	 1.230e+00
ENSG00000268049					 9.502e-06	-1.085e+00					 6.178e-07	-1.110e+00
ENSG00000279283									 8.447e-08	-1.154e+00		
ENSG00000159167							 9.798e-25	 1.059e+00	3.085e-109	 3.272e+00	3.545e-142	 3.168e+00
ENSG00000161653			 1.145e-34	 1.688e+00					 3.553e-61	 1.989e+00		
ENSG00000164611					 2.255e-19	-1.212e+00						
ENSG00000132196			 9.194e-26	-1.084e+00	 2.093e-33	-1.606e+00					 9.826e-22	-1.398e+00
ENSG00000155096											1.370e-114	 1.093e+00
ENSG00000166582									9.114e-109	 1.476e+00		
ENSG00000175084					 9.403e-65	-2.327e+00			 2.573e-27	-1.077e+00	 2.532e-94	-3.099e+00
ENSG00000116191					1.840e-130	-1.531e+00					2.467e-124	-1.475e+00
ENSG00000075218					 4.597e-35	-3.225e+00					 1.100e-35	-3.019e+00
ENSG00000149591					 2.928e-49	-1.441e+00			 0.000e+00	 2.381e+00	 4.777e-53	-1.341e+00
ENSG00000123505											4.291e-131	 1.222e+00
ENSG00000179403					 2.531e-60	-1.527e+00					1.876e-103	-2.053e+00
ENSG00000176597					8.526e-133	 1.375e+00					8.478e-137	 1.453e+00
ENSG00000104415									1.937e-151	 1.054e+00	3.089e-132	-1.846e+00
ENSG00000143443									 5.469e-24	-1.048e+00	 4.224e-14	-1.140e+00
ENSG00000104689					 3.901e-42	 1.754e+00			 8.804e-26	 1.323e+00	1.630e-120	 2.414e+00
ENSG00000133110	3.455e-215	 1.514e+00	8.497e-124	 1.061e+00	9.311e-253	 1.762e+00						
ENSG00000273230									 7.912e-26	-1.058e+00		
ENSG00000266931											 4.054e-06	 1.359e+00
ENSG00000169418	 5.278e-92	-1.883e+00	 9.632e-75	-1.505e+00	 0.000e+00	-2.410e+00					1.338e-206	-2.043e+00
ENSG00000244026									 7.676e-62	 1.168e+00		
ENSG00000143153					 5.813e-49	-1.305e+00					 7.597e-56	-1.306e+00
ENSG00000136628			1.104e-137	 1.109e+00					2.344e-277	 1.335e+00		
ENSG00000105472											3.944e-116	-1.120e+00
ENSG00000261556			 4.980e-20	 1.143e+00					 2.996e-35	 1.259e+00		
ENSG00000117122	1.845e-104	 1.666e+00	7.640e-248	 2.641e+00					2.686e-167	 1.846e+00		
ENSG00000106803											 2.644e-87	 1.012e+00
ENSG00000149150											 2.837e-84	-1.371e+00
ENSG00000088298											 4.871e-97	 1.113e+00
ENSG00000110002									 3.243e-99	-1.318e+00	 2.477e-56	-1.552e+00
ENSG00000119686	 2.658e-54	-1.545e+00										
ENSG00000233237	 1.129e-19	-1.341e+00			 1.455e-19	-1.005e+00					 2.007e-44	-1.589e+00
ENSG00000204397											6.816e-131	 1.470e+00
ENSG00000107738			 2.429e-49	-1.402e+00	 3.666e-86	-1.542e+00						
ENSG00000148671	 1.645e-80	-1.856e+00	 2.505e-68	-2.241e+00	 2.487e-45	-2.598e+00	 8.863e-43	-1.230e+00	 6.807e-45	-1.551e+00	 1.286e-26	-1.647e+00
ENSG00000226742	 7.930e-23	-1.049e+00									 1.479e-41	 1.006e+00
ENSG00000079616					 9.418e-66	-1.534e+00					 1.810e-86	-1.832e+00
ENSG00000268520											 3.833e-05	-1.671e+00
ENSG00000035499					 2.838e-05	-1.353e+00						
ENSG00000146966			 5.734e-53	-1.352e+00	 4.235e-85	-1.702e+00			 1.780e-80	-1.383e+00	 3.287e-89	-1.972e+00
ENSG00000162337											 7.434e-87	-1.121e+00
ENSG00000146670					 5.393e-40	-2.693e+00					 4.137e-39	-2.541e+00
ENSG00000113013									2.208e-305	 1.337e+00		
ENSG00000168306					 2.017e-77	-1.867e+00			 2.817e-48	-1.219e+00	4.630e-140	-2.739e+00
ENSG00000087301					 1.020e-40	-1.162e+00			 2.064e-42	-1.045e+00	 7.150e-68	-1.513e+00
ENSG00000259092					 1.134e-23	 5.415e+00			 4.452e-05	 5.253e+00	 7.412e-32	 5.889e+00
ENSG00000087074					5.240e-286	 2.172e+00			4.307e-118	 1.140e+00	1.700e-303	 2.392e+00
ENSG00000120837									1.835e-125	-1.205e+00	 1.147e-58	-1.090e+00
ENSG00000170836									 2.739e-93	-1.033e+00		
ENSG00000197258											 1.447e-15	-1.021e+00
ENSG00000102452	 2.549e-62	 1.421e+00	2.528e-267	 2.495e+00	3.075e-206	 2.065e+00			1.061e-192	 2.196e+00	1.103e-179	 2.071e+00
ENSG00000140848											 3.605e-47	-1.078e+00
ENSG00000170801	 5.001e-77	 1.359e+00	2.222e-264	 1.598e+00								
ENSG00000244716											 2.972e-08	-1.312e+00
ENSG00000076382					 1.630e-18	-1.347e+00					 1.564e-16	-1.153e+00
ENSG00000153879			1.574e-221	 2.257e+00					 0.000e+00	 2.607e+00		
ENSG00000112640											 4.991e-83	-1.061e+00
ENSG00000244627					 4.432e-26	-1.106e+00			 1.404e-25	-1.062e+00	 5.278e-36	-1.491e+00
ENSG00000154096					3.539e-109	-1.425e+00					1.280e-202	-1.803e+00
ENSG00000167772	 2.997e-85	 1.253e+00	 4.071e-34	 1.235e+00								
ENSG00000015413					 5.083e-27	-1.127e+00			 1.904e-85	-1.903e+00	7.813e-104	-2.545e+00
ENSG00000128335					8.352e-142	 1.189e+00					7.741e-188	 1.349e+00
ENSG00000154262	 2.870e-98	-1.134e+00							5.321e-287	-1.333e+00		
ENSG00000100100	 1.056e-26	-1.253e+00	8.211e-143	-1.514e+00	7.527e-261	-2.510e+00			6.918e-279	-1.829e+00	 0.000e+00	-3.247e+00
ENSG00000167904											 5.659e-22	 1.009e+00
ENSG00000102409											 2.160e-63	 1.077e+00
ENSG00000273619											 3.143e-10	-1.625e+00
ENSG00000228707			 6.285e-07	 1.774e+00	 1.161e-35	 3.578e+00			 6.926e-16	 2.430e+00	1.814e-108	 4.500e+00
ENSG00000168477	 0.000e+00	-2.841e+00	 0.000e+00	-3.518e+00	 0.000e+00	-3.566e+00	3.455e-239	-2.074e+00	8.351e-162	-2.827e+00	 0.000e+00	-3.093e+00
ENSG00000172780											 1.412e-36	 1.016e+00
ENSG00000149782					9.760e-143	-1.163e+00					1.448e-140	-1.222e+00
ENSG00000254122											 3.452e-99	-1.277e+00
ENSG00000221838											 6.276e-69	-1.084e+00
ENSG00000186340									1.641e-159	 1.220e+00		
ENSG00000183087											 1.193e-74	-1.121e+00
ENSG00000106004									 3.879e-16	-1.244e+00		
ENSG00000164253											 1.229e-73	 1.114e+00
ENSG00000179918					3.412e-122	 1.200e+00					3.734e-125	 1.203e+00
ENSG00000121621					 1.059e-10	-1.439e+00						
ENSG00000143434									 9.072e-65	-1.519e+00	 1.316e-26	-1.132e+00
ENSG00000119139			4.008e-288	-1.496e+00	8.336e-246	-1.717e+00			3.469e-304	-1.366e+00	9.177e-202	-1.576e+00
ENSG00000129422					 5.562e-91	-1.932e+00	 1.544e-39	-1.192e+00	 1.017e-85	-1.647e+00	2.910e-127	-2.492e+00
ENSG00000147576	 1.985e-25	-2.026e+00	 1.530e-32	-1.032e+00	 3.484e-37	-1.084e+00			 7.887e-60	-1.209e+00	 7.944e-76	-1.667e+00
ENSG00000134853					1.714e-182	-1.619e+00			5.581e-160	-1.053e+00	 0.000e+00	-2.577e+00
ENSG00000137070					 3.081e-37	-1.155e+00			 1.201e-82	-1.323e+00	 3.074e-36	-1.149e+00
ENSG00000178764					 6.885e-61	 1.326e+00					 2.179e-60	 1.216e+00
ENSG00000152894					4.947e-100	 1.087e+00					3.257e-113	 1.116e+00
ENSG00000104899											 5.115e-18	 1.247e+00
ENSG00000172728					 5.564e-23	-1.025e+00					 4.681e-39	-1.349e+00
ENSG00000139428					1.416e-129	-1.502e+00					7.170e-107	-1.474e+00
ENSG00000120686											1.188e-125	 1.180e+00
ENSG00000248049					 2.477e-65	 1.401e+00					 2.859e-65	 1.518e+00
ENSG00000125945									6.309e-155	-1.651e+00	 3.343e-48	-1.121e+00
ENSG00000155254											5.022e-113	-1.097e+00
ENSG00000162734									1.122e-183	 1.008e+00	 3.823e-86	 1.159e+00
ENSG00000111145											4.036e-139	-1.380e+00
ENSG00000120896											 2.387e-83	-1.007e+00
ENSG00000118503	1.215e-145	-1.314e+00			1.163e-119	-1.421e+00					2.005e-110	-1.514e+00
ENSG00000057294					 4.992e-93	-1.421e+00					 1.429e-56	-1.059e+00
ENSG00000117143					 5.643e-68	 1.179e+00					1.391e-207	 1.849e+00
ENSG00000197971			 2.229e-97	-1.180e+00								
ENSG00000176485			 1.894e-22	-1.106e+00								
ENSG00000137198	 2.111e-50	-1.690e+00	 4.497e-36	-1.358e+00								
ENSG00000066248	 1.214e-22	-1.031e+00					 2.682e-52	-1.847e+00			 6.233e-05	 1.155e+00
ENSG00000182324					 1.238e-27	 1.495e+00					 1.844e-40	 1.745e+00
ENSG00000157064			 4.301e-38	-1.290e+00					 8.274e-76	-1.570e+00		
ENSG00000119650											 4.770e-68	 1.035e+00
ENSG00000142156											 2.491e-65	-1.277e+00
ENSG00000074855											 3.423e-32	-1.116e+00
ENSG00000166750					7.929e-265	 1.931e+00			1.347e-107	 1.011e+00	7.700e-228	 1.908e+00
ENSG00000159202											 1.074e-84	 1.009e+00
ENSG00000135253			 7.753e-21	-1.971e+00	2.360e-109	 1.550e+00			 1.227e-54	-3.204e+00	 1.691e-40	 1.272e+00
ENSG00000116774											6.790e-149	-1.251e+00
ENSG00000007933			1.208e-166	-1.763e+00	4.671e-122	-1.721e+00			3.036e-146	-1.412e+00	8.350e-187	-2.358e+00
ENSG00000211445			 0.000e+00	-2.844e+00	 0.000e+00	-2.811e+00			4.639e-126	-1.583e+00	 0.000e+00	-3.449e+00
ENSG00000125826					6.117e-135	 1.168e+00					3.431e-129	 1.239e+00
ENSG00000171928											6.858e-102	 1.173e+00
ENSG00000248367											 7.595e-06	-1.923e+00
ENSG00000152527									 1.359e-68	-1.588e+00		
ENSG00000126351											6.458e-112	-1.567e+00
ENSG00000151692											 1.345e-36	-1.454e+00
ENSG00000143575									8.404e-229	 1.322e+00		
ENSG00000014138					 1.272e-27	-1.307e+00					 1.670e-31	-1.415e+00
ENSG00000261567					 5.839e-05	-1.751e+00					 3.171e-10	-3.056e+00
ENSG00000147383					 1.202e-94	-1.416e+00					 1.215e-76	-1.208e+00
ENSG00000204580					5.255e-147	-2.006e+00					6.291e-177	-2.087e+00
ENSG00000259956											5.322e-131	-1.304e+00
ENSG00000230513											 1.277e-12	-1.154e+00
ENSG00000131584									8.863e-148	-1.022e+00	 2.083e-57	-1.133e+00
ENSG00000140092	1.094e-141	 1.366e+00										
ENSG00000186907									 1.166e-78	-1.730e+00	 5.023e-31	-1.326e+00
ENSG00000105607											 4.632e-61	-1.245e+00
ENSG00000023608					 1.260e-60	 1.208e+00					1.521e-137	 1.702e+00
ENSG00000158747					 2.531e-65	-1.079e+00					8.494e-199	-1.819e+00
ENSG00000105974					1.375e-209	-1.595e+00					 1.724e-79	-1.084e+00
ENSG00000185885	 8.454e-54	-1.143e+00			7.588e-150	-1.667e+00					2.241e-266	-2.477e+00
ENSG00000221963									5.204e-153	 1.048e+00		
ENSG00000247572					 8.314e-45	 1.218e+00					 1.307e-41	 1.150e+00
ENSG00000149823											 4.586e-74	-1.005e+00
ENSG00000136404			2.234e-155	 2.946e+00	1.243e-119	 1.569e+00			 0.000e+00	 3.728e+00	1.014e-125	 1.737e+00
ENSG00000269834					 3.906e-35	 1.179e+00					 2.771e-62	 1.520e+00
ENSG00000260267											 1.050e-30	-1.158e+00
ENSG00000106100											 2.237e-49	-1.144e+00
ENSG00000104147					 3.074e-07	-2.369e+00					 3.531e-05	-1.718e+00
