gene	TGFb_t24_FDR	TGFb_t24_logFC	TGFb_t48_FDR	TGFb_t48_logFC	TGFb_t72_FDR	TGFb_t72_logFC	TGFb_and_JQ1_t24_FDR	TGFb_and_JQ1_t24_logFC	TGFb_and_JQ1_t48_FDR	TGFb_and_JQ1_t48_logFC	TGFb_and_JQ1_t72_FDR	TGFb_and_JQ1_t72_logFC
ENSG00000115884	 6.073e-66	 1.153e+00	 2.642e-13	 1.045e+00							 8.206e-19	-1.8983878
ENSG00000201812					 5.662e-10	-4.224e+00						
ENSG00000163794	 2.698e-05	-1.316e+00										
ENSG00000165495	 1.729e-21	 1.024e+00			 2.303e-23	-1.134e+00						
ENSG00000178999					 4.071e-44	-3.683e+00			 6.602e-58	 1.5983714		
ENSG00000204556					 2.106e-06	-1.197e+00						
ENSG00000183439					 6.162e-14	 1.274e+00						
ENSG00000269343					 6.798e-47	 1.173e+00						
ENSG00000257732	 1.866e-05	-1.483e+00	 4.247e-08	-1.723e+00	 2.905e-31	-3.412e+00						
ENSG00000258900					 3.815e-06	 1.144e+00						
ENSG00000204381					 1.862e-86	-1.747e+00						
ENSG00000125247					 1.201e-69	-1.363e+00						
ENSG00000198855					 3.912e-78	 1.692e+00						
ENSG00000041357					 6.149e-96	 1.006e+00						
ENSG00000186104					 1.059e-75	 1.185e+00						
ENSG00000175832			 6.461e-11	 1.344e+00			 1.447e-29	-1.048e+00			 4.701e-06	-1.0516885
ENSG00000166165			 1.405e-61	-1.573e+00	 9.627e-57	-1.590e+00	1.822e-159	 2.375e+00	 5.346e-40	 1.0388391		
ENSG00000241404	 5.652e-09	-1.001e+00			 1.409e-12	-1.058e+00						
ENSG00000134690					 2.976e-19	-2.066e+00			 1.381e-43	 1.2649742		
ENSG00000197063					3.859e-127	 1.143e+00						
ENSG00000198146					1.597e-116	 1.095e+00						
ENSG00000114270	 2.122e-69	 1.293e+00	6.777e-248	 1.784e+00	2.813e-216	 2.055e+00					 2.043e-16	-1.0225944
ENSG00000104321			 1.589e-23	 2.338e+00	 6.792e-06	 1.053e+00					 3.683e-06	-1.8114413
ENSG00000170458	 7.028e-08	-1.126e+00			 2.306e-25	 1.968e+00	 1.104e-08	-1.163e+00				
ENSG00000260350					 2.736e-08	 1.657e+00						
ENSG00000102763					6.696e-190	 1.607e+00						
ENSG00000131473					5.317e-198	-1.518e+00						
ENSG00000047648	 7.926e-69	-1.164e+00	 1.921e-49	-1.252e+00	 2.978e-66	-2.008e+00	 1.484e-50	-1.067e+00				
ENSG00000170379	 3.756e-46	-1.074e+00	 9.216e-20	-1.137e+00	 3.375e-47	-1.913e+00						
ENSG00000221502					 8.407e-05	-1.848e+00	 2.188e-09	-2.754e+00	 8.628e-07	-2.2344597		
ENSG00000188647					 3.790e-78	 1.038e+00						
ENSG00000040275	8.477e-109	 1.066e+00	2.488e-140	 1.656e+00								
ENSG00000167136					 2.256e-20	-1.080e+00			 2.398e-42	 1.0890587		
ENSG00000141338	 5.149e-64	-1.351e+00	4.143e-161	-1.130e+00	1.164e-110	-1.113e+00	1.077e-238	-3.090e+00	2.231e-248	-1.7699771		
ENSG00000261824			 4.457e-45	 1.268e+00								
ENSG00000122952					 1.813e-38	-2.695e+00						
ENSG00000197813			 1.187e-05	-1.038e+00	 6.201e-06	-1.009e+00						
ENSG00000172824	 1.381e-08	-1.269e+00			 2.727e-10	-1.151e+00					 1.380e-23	 1.4885388
ENSG00000185630					1.813e-254	-1.741e+00						
ENSG00000144354					 7.597e-42	-2.400e+00						
ENSG00000258199					 2.454e-22	-1.145e+00						
ENSG00000116183			1.192e-102	 4.809e+00	 0.000e+00	 4.065e+00					 1.416e-32	-4.0407201
ENSG00000260920			 6.871e-09	 1.172e+00								
ENSG00000115008			 5.497e-14	 2.053e+00	3.613e-221	 5.522e+00	 4.251e-17	-2.350e+00				
ENSG00000181773	 1.927e-10	 1.142e+00										
ENSG00000261114			 2.702e-07	 1.797e+00								
ENSG00000168874	 2.525e-87	-1.187e+00	1.964e-125	-1.424e+00	 6.502e-72	-1.980e+00	 0.000e+00	-2.918e+00			 2.482e-24	 1.3522538
ENSG00000134324			3.195e-147	-1.078e+00	 8.448e-96	-1.424e+00						
ENSG00000074410					 1.835e-65	-2.363e+00						
ENSG00000165879					 9.104e-13	-1.231e+00	 4.751e-32	-1.689e+00				
ENSG00000044574					3.014e-144	 2.085e+00						
ENSG00000164236	 6.461e-60	-1.215e+00	 5.387e-65	-1.470e+00	 2.203e-63	-1.429e+00					 1.687e-37	-1.4391169
ENSG00000090776	6.415e-125	-1.017e+00			7.111e-163	-1.401e+00						
ENSG00000262429			 9.277e-06	 1.801e+00								
ENSG00000169067	 2.872e-30	 1.489e+00	 2.505e-08	 1.264e+00	 1.499e-25	-4.552e+00			 1.476e-09	-1.6984842	 5.031e-17	-3.3160301
ENSG00000248794					 2.552e-05	 1.309e+00						
ENSG00000171223	 4.015e-91	 1.169e+00	1.837e-136	 1.414e+00	 2.333e-42	 1.023e+00						
ENSG00000147027					 2.409e-90	 1.042e+00	 2.421e-87	 1.037e+00				
ENSG00000266680					 9.813e-08	-1.598e+00						
ENSG00000104524					 3.466e-21	-1.168e+00						
ENSG00000114771	 1.164e-41	-1.273e+00	 9.906e-08	-1.223e+00	 2.548e-11	-2.493e+00	 5.709e-48	-1.477e+00	 1.002e-11	-1.2775214		
ENSG00000224460					 2.542e-07	 1.245e+00						
ENSG00000102683					3.020e-120	 6.466e+00						
ENSG00000062524			 8.371e-08	 1.157e+00	 1.859e-38	 1.835e+00						
ENSG00000206417			 3.144e-13	-1.026e+00	 2.313e-21	-1.547e+00	 3.569e-48	-2.257e+00				
ENSG00000000971					1.163e-106	-1.079e+00	 3.070e-40	-1.032e+00	8.565e-197	-1.5690118		
ENSG00000146250	 7.112e-16	-1.748e+00	 9.052e-11	-1.360e+00	 2.270e-06	-1.810e+00					 4.007e-30	 2.2386754
ENSG00000243244	 7.191e-31	-1.131e+00	1.133e-203	-1.630e+00	1.416e-180	-3.203e+00	 6.518e-18	-1.038e+00				
