gene	TGFb_t24_FDR	TGFb_t24_logFC	TGFb_t48_FDR	TGFb_t48_logFC	TGFb_t72_FDR	TGFb_t72_logFC	TGFb_and_JQ1_t24_FDR	TGFb_and_JQ1_t24_logFC	TGFb_and_JQ1_t48_FDR	TGFb_and_JQ1_t48_logFC	TGFb_and_JQ1_t72_FDR	TGFb_and_JQ1_t72_logFC
ENSG00000146072	 1.444e-99	-1.909e+00	2.762e-171	-1.196e+00	2.006e-228	-2.229e+00	 1.968e-45	-1.191e+00	 1.118e-97	-1.1497557		
ENSG00000175087					 5.138e-27	 1.038e+00						
ENSG00000238058					 4.513e-06	-1.185e+00						
ENSG00000123485					 2.031e-37	-3.283e+00			 1.252e-49	 1.3092231		
ENSG00000092964					 1.627e-83	-1.040e+00						
ENSG00000133687	6.387e-129	-1.150e+00										
ENSG00000187583			 5.122e-11	 1.180e+00							 3.990e-07	-1.2102538
ENSG00000149131					8.705e-189	-1.673e+00						
ENSG00000101003					 8.346e-14	-1.373e+00						
ENSG00000199024					 1.475e-05	 1.182e+00						
ENSG00000167508					1.993e-238	-1.782e+00	2.558e-165	 1.317e+00				
ENSG00000112218					 5.717e-25	 1.203e+00	 1.097e-15	 1.005e+00				
ENSG00000234779					 1.748e-05	-1.063e+00	 4.092e-15	-1.464e+00				
ENSG00000105270					3.236e-106	-1.237e+00						
ENSG00000111247					 1.956e-07	-1.318e+00						
ENSG00000111696					 3.362e-43	-1.020e+00						
ENSG00000157456					 2.807e-19	-2.147e+00	4.570e-123	-1.324e+00	 1.713e-66	 1.7001842		
ENSG00000165617	 2.099e-56	 2.061e+00	 2.004e-91	 1.614e+00	 1.805e-68	 1.655e+00	 1.007e-13	 1.125e+00				
ENSG00000167842					 4.909e-57	 1.013e+00						
ENSG00000085662					 0.000e+00	 1.937e+00						
ENSG00000213160			 1.101e-20	-1.237e+00	 5.015e-38	-1.714e+00						
ENSG00000186185					 7.348e-24	-2.933e+00			 4.412e-26	 1.3092971		
ENSG00000124593					 4.908e-20	-1.081e+00						
ENSG00000149380			3.481e-151	 1.614e+00								
ENSG00000132003			 2.523e-74	 1.240e+00								
ENSG00000127564					 6.310e-31	-3.413e+00						
ENSG00000100206					 2.270e-18	-2.251e+00	 2.076e-21	-1.148e+00				
ENSG00000026036					 1.080e-16	-1.058e+00						
ENSG00000128590					2.434e-220	 1.662e+00						
ENSG00000165821					 2.063e-49	-1.920e+00	 4.984e-87	-2.593e+00	 9.749e-99	-1.4933128		
ENSG00000197594					 3.495e-44	-1.692e+00	 1.151e-27	 1.053e+00				
ENSG00000129810					 4.137e-11	-2.203e+00						
ENSG00000215022					 8.696e-17	 1.332e+00						
ENSG00000081181					 5.889e-11	-1.538e+00			 2.889e-24	 1.6269654		
ENSG00000172893					7.572e-192	-1.558e+00						
ENSG00000084731					 4.732e-82	-1.501e+00						
ENSG00000213523					 1.111e-84	 1.050e+00						
ENSG00000232472					 2.254e-05	 1.098e+00						
ENSG00000128606	 5.190e-98	 1.086e+00			7.258e-158	-2.792e+00	4.432e-291	-2.484e+00	3.541e-310	-2.3642711		
ENSG00000172345	 1.543e-20	-1.042e+00	 1.510e-87	-1.510e+00	 1.643e-91	-2.567e+00			 2.419e-88	-1.4679791		
